id;start_date;end_date;language
1;2019-05-21T14:32:55;2019-05-21T14:45:26;CHINESE
2;2019-05-22T01:23:28;2019-05-22T02:24:52;CHINESE
3;2019-05-21T03:52:24;2019-05-21T10:25:57;CHINESE
4;2019-05-22T00:28:26;2019-05-21T19:38:16;CHINESE
5;2019-05-21T08:37:04;2019-05-21T03:57:59;CHINESE
6;2019-05-21T03:17:35;2019-05-22T01:17:36;CHINESE
7;2019-05-21T18:15:10;2019-05-21T09:44:06;CHINESE
8;2019-05-21T10:09:44;2019-05-21T08:23:55;CHINESE
9;2019-05-21T09:51:06;2019-05-21T21:19:58;CHINESE
10;2019-05-21T05:16:10;2019-05-21T09:43:30;CHINESE
